Latitude,Longitude,Radius,Depth
42.8923,308.1639,9.5712,-2548.062988
43.0972,308.1228,9.0723,-2550.70752
43.036,308.1736,12.3593,-2564.288574
43.1063,308.2303,32.1453,-2562.26001
43.0545,308.0331,16.1126,-2546.948975
42.9956,308.0946,12.7629,-2550.412109
42.9726,308.222,8.9074,-2559.073975
43.1388,308.0638,9.3528,-2545.674805
43.027,308.1101,23.1083,-2550.524658
42.9614,308.292,6.6466,-2568.254395
42.9736,308.2592,12.6254,-2562.91626
42.9919,308.2772,11.1356,-2567.266602
42.9235,308.1098,28.5966,-2546.929688
42.9545,308.0881,6.4938,-2543.596436
43.0558,308.1039,8.7853,-2551.663086
42.9672,308.2082,7.1382,-2556.898926
43.0962,308.2471,9.1116,-2561.769531
43.0877,308.2369,7.3332,-2562.398438
42.9133,308.2609,10.6886,-2562.492676
43.1057,308.2134,12.9502,-2564.716553
42.9725,308.1683,12.5797,-2557.128662
42.9665,308.2813,8.1101,-2567.784424
42.9904,308.0755,13.8212,-2549.125
43.0028,308.2254,12.6045,-2564.150146
43.0772,308.047,12.4557,-2545.349121
43.1378,308.2486,22.168,-2563.220703
42.9179,308.1213,12.1205,-2548.197754
43.1515,308.2254,6.8585,-2559.514404
43.0501,308.136,9.2473,-2552.348145
42.9047,308.1303,14.0733,-2548.59668
43.1502,308.1099,28.2135,-2548.778564
43.0824,308.0882,27.8154,-2548.484863
42.9915,308.0766,14.1859,-2549.578369
42.8999,308.2718,6.9828,-2561.050049
42.9687,308.276,12.089,-2567.75415
43.0216,308.2501,8.8928,-2565.994873
43.0671,308.1561,12.8535,-2555.803711
42.9995,308.1505,10.3098,-2558.489502
43.1235,308.1746,19.5959,-2557.39917
42.9888,308.2341,8.2148,-2561.750244
43.0751,308.2947,14.3135,-2566.928955
42.9167,308.0396,9.2755,-2545.949219
43.0133,308.2162,25.9412,-2560.865479
42.9997,308.246,5.9511,-2566.70166
43.0847,308.0369,9.4369,-2544.300049
42.8944,308.0293,17.1411,-2545.740479
43.1101,308.2017,6.6353,-2558.811768
43.0199,308.2099,9.7481,-2562.884277
43.0489,308.1166,9.2251,-2549.615234
43.055,308.1031,19.5611,-2550.237061
42.9766,308.2703,21.9799,-2564.829346
42.8726,308.105,10.3208,-2547.159668
43.145,308.2797,6.6756,-2563.253174
43.0801,308.0429,15.8376,-2545.313232
43.0808,308.0315,11.654,-2544.641602
42.9318,308.2224,11.1786,-2557.306396
43.0177,308.1973,18.6508,-2561.746094
43.0195,308.2176,10.0899,-2563.502441
42.9082,308.0759,12.493,-2546.180176
43.0608,308.066,17.7254,-2553.890381
42.998,308.2384,10.1968,-2564.962402
42.9252,308.0486,7.5509,-2543.117676
42.8731,308.1324,29.3942,-2550.032715
42.9336,308.1174,9.8408,-2547.938965
43.0428,308.2633,15.3308,-2563.887695
42.998,308.0682,12.194,-2548.7146
43.1169,308.2329,14.9944,-2559.208496
43.0297,308.1802,9.2647,-2560.819824
42.9557,308.2981,11.5574,-2580.443604
42.9187,308.1685,9.4246,-2551.468262
43.0702,308.0411,7.8828,-2544.945801
43.0031,308.1764,14.0429,-2560.312012
42.8828,308.2872,11.7091,-2564.743408
42.9514,308.0847,22.9686,-2549.807617
43.1376,308.2666,9.1656,-2561.890625
43.0742,308.0399,19.6856,-2545.485107
43.0317,308.1418,8.5153,-2557.750732
43.0631,308.3044,16.5858,-2570.316162
43.1382,308.2016,9.7262,-2561.004395
43.1256,308.1102,12.4087,-2552.057129
43.0497,308.2179,8.7496,-2560.385254
42.8988,308.1571,7.7631,-2549.814453
42.908,308.058,9.37,-2545.96582
43.0668,308.2837,15.557,-2566.321533
42.888,308.1312,11.0972,-2548.050293
42.9563,308.1816,11.7762,-2553.760742
43.0297,308.2607,10.0564,-2567.523926
42.9116,308.1243,12.8425,-2548.077148
43.0317,308.1231,10.617,-2553.48999
42.9322,308.1858,9.3375,-2554.697998
42.9853,308.0254,14.8239,-2539.42334
43.1273,308.2989,10.2995,-2564.369873
42.9776,308.2086,11.2825,-2557.238525
42.9914,308.2581,8.9645,-2570.279297
43.0005,308.2709,18.0171,-2571.237061
43.0557,308.1091,17.0583,-2550.79248
43.0675,308.296,12.2162,-2568.778076
